0.6507	0.5388	0.0000	0.0000	1.0000	0.0000	0.5388	0.0000	smiles U_488915  nn[2, 32, 384, 17, 8, 0.9, 0.6, 0.6, 9]	
0.6855	0.6366	0.2733	0.3676	0.8669	0.7028	0.6156	0.4828	pubchem U_488915  nn	
0.6747	0.6366	0.2629	0.5084	0.7464	0.6319	0.6394	0.5634	pubchem U_488915  svm0.05	
0.6807	0.6085	0.2034	0.4370	0.7554	0.6047	0.6105	0.5073	pubchem U_488915  rf100	
0.6837	0.6337	0.2567	0.4916	0.7554	0.6324	0.6344	0.5532	pubchem U_488915  gbm100	
0.6563	0.6105	0.2101	0.5084	0.6978	0.5902	0.6238	0.5463	ECFP U_488915  nn	
0.6562	0.6134	0.2140	0.4622	0.7428	0.6061	0.6173	0.5244	ECFP U_488915  svm0.05	
0.6992	0.6308	0.2565	0.3824	0.8435	0.6766	0.6147	0.4886	ECFP U_488915  rf100	
0.6720	0.6095	0.2092	0.3424	0.8381	0.6443	0.5982	0.4472	ECFP U_488915  gbm100	
0.6678	0.6105	0.2075	0.4265	0.7680	0.6114	0.6100	0.5025	MACCS U_488915  nn	
0.6766	0.6182	0.2242	0.4307	0.7788	0.6250	0.6151	0.5100	MACCS U_488915  svm0.05	
0.6819	0.6153	0.2179	0.4412	0.7644	0.6158	0.6151	0.5141	MACCS U_488915  rf100	
0.6698	0.6221	0.2338	0.4055	0.8076	0.6433	0.6134	0.4974	MACCS U_488915  gbm100	
0.6232	0.5349	0.0000	0.0000	1.0000	0.0000	0.5349	0.0000	smiles U_488915  nn[2, 32, 384, 17, 8, 0.9, 0.6, 0.6, 9]	
0.7019	0.6589	0.3129	0.6125	0.6993	0.6391	0.6748	0.6255	pubchem U_488915  nn	
0.6848	0.6182	0.2288	0.5417	0.6848	0.5991	0.6321	0.5689	pubchem U_488915  svm0.05	
0.6866	0.6337	0.2588	0.5062	0.7446	0.6328	0.6343	0.5625	pubchem U_488915  rf100	
