0.4268	0.6013	0.0000	1.0000	0.0000	0.6013	0.0000	0.7510	smiles U_1851_2c19  nn[2, 32, 384, 17, 8, 0.9, 0.6, 0.6, 9]	
0.7821	0.7160	0.4192	0.7300	0.6949	0.7830	0.6305	0.7556	pubchem U_1851_2c19  nn	
0.7765	0.7081	0.4259	0.6715	0.7633	0.8106	0.6065	0.7345	pubchem U_1851_2c19  svm0.05	
0.7773	0.6920	0.3903	0.6631	0.7355	0.7908	0.5914	0.7213	pubchem U_1851_2c19  rf100	
0.7924	0.7114	0.4184	0.7046	0.7216	0.7924	0.6183	0.7459	pubchem U_1851_2c19  gbm100	
0.7927	0.7017	0.4275	0.6385	0.7970	0.8259	0.5938	0.7202	ECFP U_1851_2c19  nn	
0.8164	0.7299	0.4682	0.6938	0.7842	0.8290	0.6294	0.7554	ECFP U_1851_2c19  svm0.05	
0.7899	0.6776	0.4108	0.5669	0.8445	0.8462	0.5639	0.6789	ECFP U_1851_2c19  rf100	
0.7906	0.6994	0.4097	0.6608	0.7575	0.8043	0.5969	0.7255	ECFP U_1851_2c19  gbm100	
0.7893	0.7197	0.4316	0.7208	0.7181	0.7941	0.6303	0.7556	MACCS U_1851_2c19  nn	
0.7544	0.6901	0.3818	0.6715	0.7181	0.7823	0.5918	0.7227	MACCS U_1851_2c19  svm0.05	
0.7640	0.6512	0.3445	0.5623	0.7854	0.7980	0.5433	0.6597	MACCS U_1851_2c19  rf100	
0.7820	0.7017	0.4092	0.6731	0.7448	0.7991	0.6017	0.7307	MACCS U_1851_2c19  gbm100	
0.4234	0.6013	0.0000	1.0000	0.0000	0.6013	0.0000	0.7510	smiles U_1851_2c19  nn[2, 32, 384, 17, 8, 0.9, 0.6, 0.6, 9]	
0.7898	0.7216	0.4306	0.7346	0.7019	0.7880	0.6368	0.7604	pubchem U_1851_2c19  nn	
0.7765	0.7081	0.4259	0.6715	0.7633	0.8106	0.6065	0.7345	pubchem U_1851_2c19  svm0.05	
0.7831	0.6998	0.3993	0.6846	0.7227	0.7883	0.6031	0.7328	pubchem U_1851_2c19  rf100	
0.7921	0.7132	0.4212	0.7085	0.7204	0.7926	0.6210	0.7482	pubchem U_1851_2c19  gbm100	
0.7882	0.6896	0.4157	0.6069	0.8144	0.8314	0.5787	0.7016	ECFP U_1851_2c19  nn	
0.8164	0.7299	0.4682	0.6938	0.7842	0.8290	0.6294	0.7554	ECFP U_1851_2c19  svm0.05	
0.7948	0.6795	0.4179	0.5638	0.8538	0.8533	0.5649	0.6790	ECFP U_1851_2c19  rf100	
0.7884	0.6984	0.4086	0.6585	0.7587	0.8045	0.5956	0.7242	ECFP U_1851_2c19  gbm100	
0.7891	0.7280	0.4425	0.7438	0.7042	0.7913	0.6457	0.7669	MACCS U_1851_2c19  nn	
0.7544	0.6901	0.3818	0.6715	0.7181	0.7823	0.5918	0.7227	MACCS U_1851_2c19  svm0.05	
0.7797	0.6744	0.3893	0.5862	0.8074	0.8211	0.5640	0.6840	MACCS U_1851_2c19  rf100	
0.7825	0.7031	0.4122	0.6738	0.7471	0.8007	0.6030	0.7318	MACCS U_1851_2c19  gbm100	
